route=fallback-resume
xterm.js pty cleanup: pid 34344 killed; kill -0 verification unavailable after harness exit; no persistent sandbox or listener spawned by resume capture.
kill -0 34344: fails (process absent)
COMMAND     PID    USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
bun        3172 yeongyu   11u  IPv4 0x3a9b5cc1df68586b      0t0  TCP 127.0.0.1:51079 (LISTEN)
bun        3509 yeongyu   14u  IPv4 0x7748c9fbb13905a6      0t0  TCP 127.0.0.1:50648 (LISTEN)
bun        4568 yeongyu   15u  IPv4 0x3f4bf93ca94ca1dc      0t0  TCP 127.0.0.1:50042 (LISTEN)
bun        4734 yeongyu   14u  IPv4 0x7ed028e5afea3755      0t0  TCP 127.0.0.1:61527 (LISTEN)
node       6087 yeongyu   20u  IPv4 0xa5535d1bad31cfe8      0t0  TCP *:9100 (LISTEN)
bun        6554 yeongyu   10u  IPv4 0x47f6397f85dca45f      0t0  TCP 127.0.0.1:50083 (LISTEN)
ControlCe  6780 yeongyu    9u  IPv4 0xa119bc956d1befc7      0t0  TCP *:7000 (LISTEN)
ControlCe  6780 yeongyu   10u  IPv6 0xfd1d67ea0ff70d7b      0t0  TCP *:7000 (LISTEN)
ControlCe  6780 yeongyu   11u  IPv4 0x16cfe0616d1e8468      0t0  TCP *:5000 (LISTEN)
ControlCe  6780 yeongyu   12u  IPv6 0x408f818291d8680a      0t0  TCP *:5000 (LISTEN)
rapportd   6796 yeongyu   13u  IPv4 0x8443cc2fd06de7f6      0t0  TCP *:59813 (LISTEN)
rapportd   6796 yeongyu   14u  IPv6 0xe6ffe73e709c92cd      0t0  TCP *:59813 (LISTEN)
rapportd   6796 yeongyu   24u  IPv6 0xeccc92ad5014afcd      0t0  TCP *:59437 (LISTEN)
rapportd   6796 yeongyu   26u  IPv6 0x61666546390a22ea      0t0  TCP *:59438 (LISTEN)
Aside      6864 yeongyu   61u  IPv4  0x6542b54f2565a8f      0t0  TCP 127.0.0.1:45103 (LISTEN)
Aside      6864 yeongyu  110u  IPv4 0x13dcbe5e4f5cce71      0t0  TCP 127.0.0.1:9222 (LISTEN)
Discord    7415 yeongyu   41u  IPv4 0x6bd388eb714c40c6      0t0  TCP 127.0.0.1:6463 (LISTEN)
ARDAgent   7498 yeongyu   10u  IPv6 0xf6973ff25fc618cf      0t0  TCP *:3283 (LISTEN)
bun        7993 yeongyu    5u  IPv6 0x839cef86b5c6d844      0t0  TCP *:25679 (LISTEN)
node       8020 yeongyu   15u  IPv6 0x1c6d88651e8230ee      0t0  TCP *:51303 (LISTEN)
node       8020 yeongyu   21u  IPv4 0xcbbb14655ca66135      0t0  TCP 127.0.0.1:61008 (LISTEN)
bun        8024 yeongyu    4u  IPv4 0xd1c633d2d5a2c574      0t0  TCP 127.0.0.1:19092 (LISTEN)
bun        8025 yeongyu    5u  IPv6 0x53a115cf9bf0ada6      0t0  TCP *:7202 (LISTEN)
bun        8033 yeongyu    4u  IPv4 0x30a9e7dfa0b47fa0      0t0  TCP 127.0.0.1:61406 (LISTEN)
bun        8033 yeongyu    5u  IPv4 0x7369b4dfc6732556      0t0  TCP 127.0.0.1:7820 (LISTEN)
moshi-hoo  8036 yeongyu    7u  IPv4 0x24eba294c52769a6      0t0  TCP 127.0.0.1:24543 (LISTEN)
bun        8040 yeongyu    4u  IPv4 0xddc5bc522a0d6d05      0t0  TCP 127.0.0.1:7211 (LISTEN)
agentika   8041 yeongyu   11u  IPv4 0xaa5e074a133469ce      0t0  TCP *:7200 (LISTEN)
cloudflar  8044 yeongyu   14u  IPv4 0xf314ef9ab66142e3      0t0  TCP 127.0.0.1:20242 (LISTEN)
codex      8223 yeongyu   32u  IPv4 0x4ac7bd96621d0f1b      0t0  TCP 100.68.81.17:18789 (LISTEN)
node       8299 yeongyu   57u  IPv6 0xf3c0877ca2144afa      0t0  TCP *:8787 (LISTEN)
Ollama     8465 yeongyu    5u  IPv4 0x6b68db2244d25e56      0t0  TCP 127.0.0.1:60388 (LISTEN)
ollama     8511 yeongyu    3u  IPv4 0x381461426623e6e7      0t0  TCP 127.0.0.1:11434 (LISTEN)
node       8834 yeongyu   14u  IPv4 0xa81b8b06659b09e4      0t0  TCP 127.0.0.1:5733 (LISTEN)
node       8947 yeongyu   16u  IPv4 0x56ac026d43f06813      0t0  TCP 127.0.0.1:60743 (LISTEN)
bun       10909 yeongyu   10u  IPv4 0xfbb38afa991ae63a      0t0  TCP 127.0.0.1:49923 (LISTEN)
bun       10984 yeongyu   10u  IPv4 0x8c4f5787f85f6a9a      0t0  TCP 127.0.0.1:50567 (LISTEN)
node      11590 yeongyu   16u  IPv4 0xe8fcfc3b3d02ea3f      0t0  TCP *:7777 (LISTEN)
bun       12391 yeongyu    6u  IPv6 0xc2c42edcb2bf0f40      0t0  TCP *:9200 (LISTEN)
bun       12901 yeongyu    6u  IPv4 0x3d53bac0253c8f8a      0t0  TCP 127.0.0.1:18992 (LISTEN)
bun       13445 yeongyu    6u  IPv4 0x22fa6553166832c2      0t0  TCP 127.0.0.1:51720 (LISTEN)
bun       13460 yeongyu   11u  IPv4 0xa47f9e27d6afef45      0t0  TCP 127.0.0.1:50798 (LISTEN)
bun       13860 yeongyu    4u  IPv4 0x70ce4f13e01ca78c      0t0  TCP 127.0.0.1:57080 (LISTEN)
bun       15482 yeongyu   10u  IPv4 0xba60ab19731a988c      0t0  TCP *:4180 (LISTEN)
bun       15482 yeongyu   11u  IPv4 0xabebbbf0fb9e00e8      0t0  TCP *:4181 (LISTEN)
bun       16706 yeongyu    4u  IPv4 0xf3ee2f4bbeb4c3ee      0t0  TCP 127.0.0.1:52027 (LISTEN)
bun       16729 yeongyu   10u  IPv4 0xee52e3a7759c23a7      0t0  TCP 127.0.0.1:50968 (LISTEN)
bun       16892 yeongyu    5u  IPv4  0x2ab74aa4c893eb8      0t0  TCP 127.0.0.1:18991 (LISTEN)
bun       17156 yeongyu   11u  IPv4 0xd1d260a97b891821      0t0  TCP 127.0.0.1:51665 (LISTEN)
node      18337 yeongyu   17u  IPv4 0x14e02e5d740c05c5      0t0  TCP 127.0.0.1:56012 (LISTEN)
agent-bro 18703 yeongyu    9u  IPv4 0x774339a9ddd511e8      0t0  TCP 127.0.0.1:50938 (LISTEN)
bun       18756 yeongyu   10u  IPv4 0x9fbdde648f9cff13      0t0  TCP 127.0.0.1:50810 (LISTEN)
bun       19045 yeongyu    4u  IPv4 0xc16a8c98f3b3697d      0t0  TCP 127.0.0.1:52028 (LISTEN)
OrbStack  19877 yeongyu   75u  IPv6 0x27dc12a2e218d8aa      0t0  TCP *:32222 (LISTEN)
OrbStack  19877 yeongyu   76u  IPv4  0x99cec67cfb56b3f      0t0  TCP 127.0.0.1:62267 (LISTEN)
OrbStack  19877 yeongyu   98u  IPv4 0x1d663f603306d32e      0t0  TCP 127.0.0.1:8398 (LISTEN)
OrbStack  19877 yeongyu  100u  IPv4  0x957fe95811852d1      0t0  TCP *:8888 (LISTEN)
OrbStack  19877 yeongyu  101u  IPv6 0xdebd087639676e98      0t0  TCP *:8888 (LISTEN)
cloudflar 21334 yeongyu   11u  IPv4   0xe23e6464b57b8f      0t0  TCP 127.0.0.1:20241 (LISTEN)
node      25232 yeongyu   16u  IPv4 0xd2f8e318f87c1d2f      0t0  TCP 127.0.0.1:49749 (LISTEN)
bun       27588 yeongyu   11u  IPv4 0x9e139cdcc5448146      0t0  TCP 127.0.0.1:50627 (LISTEN)
node      28151 yeongyu   29u  IPv4 0x3d0d134b092667bf      0t0  TCP 127.0.0.1:18790 (LISTEN)
node      28151 yeongyu   30u  IPv6 0x887e727245bb664b      0t0  TCP [::1]:18790 (LISTEN)
bun       31522 yeongyu   14u  IPv4 0x4ed76f1a2b9771e4      0t0  TCP 127.0.0.1:49907 (LISTEN)
workerd   32159 yeongyu   31u  IPv4 0x4c8e21a5b6c0e965      0t0  TCP 127.0.0.1:61182 (LISTEN)
workerd   32179 yeongyu   31u  IPv4 0x91067eec2601eaaf      0t0  TCP 127.0.0.1:61190 (LISTEN)
workerd   32180 yeongyu   31u  IPv4 0xb42fa9599b80e6bb      0t0  TCP 127.0.0.1:61195 (LISTEN)
workerd   32191 yeongyu   31u  IPv4 0xa6fb43c6f7c1e3f0      0t0  TCP 127.0.0.1:61201 (LISTEN)
workerd   32194 yeongyu   31u  IPv4 0x850537b1c48d2f42      0t0  TCP 127.0.0.1:61207 (LISTEN)
workerd   32195 yeongyu   31u  IPv4  0x7d97813ebb09425      0t0  TCP 127.0.0.1:61212 (LISTEN)
workerd   32206 yeongyu   31u  IPv4 0xedb75bec954232be      0t0  TCP 127.0.0.1:61217 (LISTEN)
workerd   32212 yeongyu   31u  IPv4 0x782ff66be704e3dc      0t0  TCP 127.0.0.1:61225 (LISTEN)
workerd   32215 yeongyu   31u  IPv4 0xe977cdea2b92da1e      0t0  TCP 127.0.0.1:61230 (LISTEN)
workerd   32216 yeongyu   31u  IPv4 0x756effed6e6d0c31      0t0  TCP 127.0.0.1:61235 (LISTEN)
workerd   32219 yeongyu   31u  IPv4 0x10773b8c49ce2490      0t0  TCP 127.0.0.1:61241 (LISTEN)
bun       34374 yeongyu   12u  IPv4  0x50ab23dd1a26106      0t0  TCP 127.0.0.1:58845 (LISTEN)
bun       35664 yeongyu    6u  IPv4 0x6e4669551edfd062      0t0  TCP 127.0.0.1:18990 (LISTEN)
workerd   35838 yeongyu   31u  IPv4 0x4a993a54d1362438      0t0  TCP 127.0.0.1:54027 (LISTEN)
workerd   35861 yeongyu   31u  IPv4 0x501286b933435289      0t0  TCP 127.0.0.1:54030 (LISTEN)
workerd   35863 yeongyu   31u  IPv4 0xfb2efcd94c6c27cf      0t0  TCP 127.0.0.1:54034 (LISTEN)
workerd   35865 yeongyu   31u  IPv4 0x2af4baa2eb67162a      0t0  TCP 127.0.0.1:54037 (LISTEN)
workerd   35866 yeongyu   31u  IPv4  0xd18568ea7b33bb8      0t0  TCP 127.0.0.1:54040 (LISTEN)
workerd   35867 yeongyu   31u  IPv4 0xbb8d8e95e880997d      0t0  TCP 127.0.0.1:54043 (LISTEN)
workerd   35868 yeongyu   31u  IPv4 0xf60afaca84c731f2      0t0  TCP 127.0.0.1:54046 (LISTEN)
workerd   38527 yeongyu   31u  IPv4 0xf9132c5a31870bf5      0t0  TCP 127.0.0.1:54294 (LISTEN)
workerd   38528 yeongyu   31u  IPv4 0x37ffcd21ab09f5b8      0t0  TCP 127.0.0.1:54297 (LISTEN)
workerd   38541 yeongyu   31u  IPv4 0x7fa8b86cb9f0eec5      0t0  TCP 127.0.0.1:54300 (LISTEN)
workerd   38542 yeongyu   31u  IPv4 0x7e418f82d50f1cd1      0t0  TCP 127.0.0.1:54304 (LISTEN)
workerd   38543 yeongyu   31u  IPv4 0x1962d89e18ce877c      0t0  TCP 127.0.0.1:54307 (LISTEN)
workerd   38544 yeongyu   31u  IPv4 0x582b3068d9e46c35      0t0  TCP 127.0.0.1:54310 (LISTEN)
workerd   38545 yeongyu   31u  IPv4 0xe218f236e0d88e01      0t0  TCP 127.0.0.1:54313 (LISTEN)
